dong_id,p_i,c_i,K_i,x_obs_i,B_i
11090750,1706.5606363636364,2941.1764705882356,24,0.5595425742857145,0.35294117647058826
11100510,2558.571,2968.75,9,0.10173501350649353,0.375
11100520,1703.0715,3125.0,9,0.10173501350649353,0.5
11100530,1570.9199999999998,3000.0,5,0.05086750675324676,0.4
11100540,1548.834,3125.0,17,0.20347002701298705,0.5
11100550,2234.34,2926.8292682926826,115,1.3734226823376627,0.34146341463414637
11100560,1897.5839999999996,2777.777777777778,13,0.15260252025974033,0.2222222222222222
11100570,1970.916,2812.5,5,0.05086750675324676,0.25
11100590,1644.6885,2812.5,17,0.20347002701298705,0.25
11100600,1734.663,2734.375,39,0.4578075607792209,0.1875
11100610,1646.8664999999999,2500.0,9,0.10173501350649353,0.0
11100620,1524.405157894737,2642.857142857143,81,0.9664826283116885,0.11428571428571428
11100630,2018.224,2647.0588235294117,39,0.4578075607792209,0.11764705882352941
11100640,1739.2079999999999,2836.5384615384614,39,0.4578075607792209,0.2692307692307692
11100650,1490.4816,3026.315789473684,22,0.25433753376623386,0.42105263157894735
11110510,1818.5182499999999,2608.695652173913,17,0.6104100810389613,0.08695652173913043
11110520,1861.8555,2670.4545454545455,17,0.6104100810389613,0.13636363636363635
11110530,1577.2020000000002,2569.4444444444443,13,0.4578075607792209,0.05555555555555555
11110560,1687.7213076923076,2500.0,19,0.6612775877922079,0.0
11110580,1877.21115,2803.0303030303025,28,1.0173501350649354,0.24242424242424243
11110590,1866.3562499999998,2578.125,12,0.4069400540259741,0.0625
11110600,2176.4798571428573,3062.5,20,0.7121450945454547,0.45
11110610,1729.4192368421052,2550.6756756756754,53,1.932965256623377,0.04054054054054054
11110640,1752.9918000000002,2692.3076923076924,7,0.25433753376623386,0.15384615384615385
11110650,1898.3376521739133,3208.333333333333,33,1.1699526553246755,0.5666666666666667
11110660,1710.012923076923,2946.4285714285716,19,0.6612775877922079,0.35714285714285715
11110690,1524.8445000000002,2608.695652173913,17,0.6104100810389613,0.08695652173913043
11110720,1863.3270000000002,2633.9285714285716,17,0.6104100810389613,0.10714285714285714
11110730,1930.8952499999998,2500.0,12,0.4069400540259741,0.0
11110740,2094.3705,2894.7368421052633,9,0.30520504051948066,0.3157894736842105
11110760,1748.509125,2569.4444444444443,12,0.4069400540259741,0.05555555555555555
11110770,1728.6662727272728,2591.145833333333,62,2.238170297142858,0.07291666666666667
11110780,1784.9005384615384,2681.451612903226,37,1.3225551755844158,0.14516129032258066
11110790,1706.0472272727272,2625.0,31,1.119085148571429,0.1
11120510,1506.71175,2757.3529411764707,467,2.2764429738593015,0.20588235294117646
11120520,1807.8220000000001,2833.3333333333335,94,0.4578075607792209,0.26666666666666666
11120550,1809.400562369734,2500.0,0,0.0,0.0
11120560,1869.798,3000.0,32,0.15260252025974033,0.4
11120570,1576.1835,2604.166666666667,167,0.8152331921883605,0.08333333333333333
11120580,2100.75,2708.333333333333,223,1.0887084097089748,0.16666666666666666
11120590,1680.4338,2804.878048780488,157,0.7630126012987014,0.24390243902439024
11120600,1731.7482,2604.166666666667,53,0.25433753376623386,0.08333333333333333
11120650,1253.505,2708.333333333333,32,0.15260252025974033,0.16666666666666666
11120660,1448.7389999999998,2708.333333333333,32,0.15260252025974033,0.16666666666666666
11120670,1735.2805714285716,3062.5,307,1.495107230080384,0.45
11120680,1872.2292,2625.0,103,0.4997024283528842,0.1
11120710,2950.242,2500.0,223,1.084708354730706,0.0
11120720,1999.545,2812.5,21,0.10173501350649353,0.25
11120730,1997.6357142857144,2763.1578947368416,73,0.35607254727272736,0.21052631578947367
11120740,1677.9521538461538,2625.0,331,1.6124111679314703,0.1
11130520,1812.012,2812.5,67,0.26163573132700724,0.25
11130620,2285.271,2875.0,40,0.15260252025974033,0.3
11130640,1769.9161251319956,3333.333333333333,0,0.0,0.6666666666666666
11130650,2243.04,3125.0,14,0.05086750675324676,0.5
11130660,1599.2565,3333.333333333333,27,0.10173501350649353,0.6666666666666666
11130680,2283.0385714285712,2692.3076923076924,92,0.35607254727272736,0.15384615384615385
11130690,1956.2426842105265,2604.166666666667,248,0.9664826283116885,0.08333333333333333
11130700,1862.3374285714285,2708.333333333333,92,0.35607254727272736,0.16666666666666666
11130710,1668.2943750000002,2580.6451612903224,209,0.8138801080519482,0.06451612903225806
11130720,2180.163,3020.833333333333,40,0.15260252025974033,0.4166666666666667
11130730,1903.5097500000002,2812.5,157,0.6104100810389613,0.25
11130740,1964.8365,3125.0,337,1.3172612339007033,0.5
11130750,1539.744,2884.6153846153843,141,0.5480836430054735,0.3076923076923077
11130760,1996.7043749999998,3000.0,1341,5.2459071968701645,0.4
11140590,2189.9219999999996,2647.0588235294117,81,1.5525710219986402,0.11764705882352941
11140600,1315.302,2666.6666666666665,159,3.0797832484066228,0.13333333333333333
11140610,1365.04425,2894.7368421052633,189,3.6485237196287215,0.3157894736842105
11140630,1891.869,3214.2857142857138,126,2.426781768982868,0.5714285714285714
11140660,1775.8706470588236,2640.086206896552,1029,19.93081400968123,0.11206896551724138
11140680,1698.1414285714288,2500.0,368,7.112441788379237,0.0
11140690,1794.3675000000003,2708.333333333333,6,0.10173501350649353,0.16666666666666666
11140700,2156.232,2708.333333333333,8,0.15260252025974033,0.16666666666666666
11140710,1426.4244375,2500.0,186,3.5879224638691594,0.0
11140720,1775.103,2687.5,29,0.5595425742857145,0.15
11140730,1976.865,2625.0,58,1.119085148571429,0.1
11140740,2245.7866875,2539.0625,203,3.9319441055519655,0.03125
11140750,1697.9339999999997,2500.0,96,1.8508584198707134,0.0
11140760,1874.2140000000002,2562.5,24,0.4578075607792209,0.05
11140770,1664.1509999999998,2569.4444444444443,203,3.9224275419255012,0.05555555555555555
11140780,1431.924,2800.0000000000005,93,1.79603621720968,0.24
11150510,1824.7056666666667,2731.25,88,4.1202680470129875,0.185
11150520,1574.7369000000003,2556.818181818182,11,0.5086750675324677,0.045454545454545456
11150530,1688.847,2777.777777777778,6,0.25433753376623386,0.2222222222222222
11150540,1591.479,2666.6666666666665,7,0.30520504051948066,0.13333333333333333
11150570,1806.3492,2692.3076923076924,6,0.25433753376623386,0.15384615384615385
11150580,2218.4718000000003,3541.666666666667,6,0.25433753376623386,0.8333333333333334
11150590,2097.0844285714284,2589.2857142857147,8,0.35607254727272736,0.07142857142857142
11150600,1586.274,2625.0,5,0.20347002701298705,0.1
11150610,1651.32,2500.0,7,0.30520504051948066,0.0
11150620,1702.3965,2708.333333333333,3,0.10173501350649353,0.16666666666666666
11150630,2078.2380000000003,3437.5,4,0.15260252025974033,0.75
11150640,2043.81276,2578.125,27,1.2716876688311691,0.0625
11150650,1608.5769642857142,2522.3214285714284,31,1.4242901890909094,0.017857142857142856
11150660,2406.633,2589.2857142857147,7,0.30520504051948066,0.07142857142857142
11150690,1576.085234042553,2623.5465116279074,102,4.781545634805196,0.09883720930232558
11150700,1768.317,2686.5671641791046,41,1.932965256623377,0.14925373134328357
11150710,1733.5634081632654,2656.25,53,2.4925078309090916,0.125
11150720,1955.4436153846154,2523.1481481481483,28,1.3225551755844158,0.018518518518518517
11160510,2132.106642857143,3382.3529411764707,82,4.839237759671473,0.7058823529411765
11160520,1905.5843863636362,2637.5,38,2.238170297142858,0.11
11160530,1767.5355,2666.6666666666665,6,0.30520504051948066,0.13333333333333333
11160540,1679.5521000000003,2600.4464285714284,52,3.0520504051948056,0.08035714285714286
11160550,2359.6800000000003,2812.5,4,0.20347002701298705,0.25
11160570,2084.6895,2857.142857142857,4,0.20347002701298705,0.2857142857142857
11160580,1403.5335,2968.75,2,0.10173501350649353,0.375
11160590,1727.1160000000002,2946.4285714285716,8,0.4578075607792209,0.35714285714285715
11160610,1883.332754716981,2736.1111111111113,46,2.695977857922079,0.18888888888888888
11160630,2474.0538000000006,3214.2857142857138,5,0.25433753376623386,0.5714285714285714
11160751,1776.0720184049078,2685.546875,141,8.291403600779223,0.1484375
11160650,1844.2912105263158,2531.25,17,0.9664826283116885,0.025
11160660,1636.6104,2610.294117647059,13,0.7630126012987014,0.08823529411764706
11160670,1711.2447735849057,2511.6279069767443,92,5.391955715844158,0.009302325581395349
11160690,1680.646401869159,2657.0680628272253,99,5.839818108220748,0.1256544502617801
11160700,1702.4949857142858,2648.809523809524,61,3.560725472727274,0.11904761904761904
11160710,1927.8114,2700.0,9,0.5086750675324677,0.16
11160761,1878.0530999999999,2608.695652173913,9,0.5086750675324677,0.08695652173913043
11160730,1969.4858181818183,2552.083333333333,10,0.5595425742857145,0.041666666666666664
11160740,1762.7656578947367,2625.0,33,1.932965256623377,0.1
11170510,1551.7045423728814,2605.769230769231,115,4.246491192596226,0.08461538461538462
11170520,1920.3435,2500.0,25,0.9156151215584418,0.0
11170540,1604.5529999999999,2896.8253968253966,29,1.0682176418181821,0.31746031746031744
11170550,1569.8645454545454,2730.2631578947367,31,1.119085148571429,0.18421052631578946
11170560,1690.474875,2721.354166666667,77,2.848580378181819,0.17708333333333334
11170610,1816.4944736842106,2560.9756097560976,27,0.9664826283116885,0.04878048780487805
11170620,1769.7588,2767.857142857143,7,0.25433753376623386,0.21428571428571427
11170640,1908.20175,3500.0,6,0.20347002701298705,0.8
11170650,2163.786,2968.75,7,0.25433753376623386,0.375
11170670,2114.409,2777.777777777778,5,0.15260252025974033,0.2222222222222222
11170740,2352.2685,2604.166666666667,11,0.37688467264591785,0.08333333333333333
11170690,1713.681,2500.0,5,0.15260252025974033,0.0
11170700,1688.042625,2666.6666666666665,23,0.8342609378566573,0.13333333333333333
11170710,1629.177,2656.25,43,1.57689270935065,0.125
11170720,2074.9610000000002,2562.5,13,0.4578075607792209,0.05
11180510,1735.5626739130435,2747.8448275862065,448,8.393388089173369,0.19827586206896552
11180520,1809.36,2763.1578947368416,155,2.8994478849350656,0.21052631578947367
11180530,2139.3914999999997,3333.333333333333,6,0.10173501350649353,0.6666666666666666
11180540,1899.614,3409.0909090909095,45,0.8346895426328219,0.7272727272727273
11180550,2287.215,3000.0,9,0.15260252025974033,0.4
11180570,1741.3425,2589.2857142857147,17,0.30520504051948066,0.07142857142857142
11180580,1978.1699999999998,3125.0,3,0.05086750675324676,0.5
11180590,2203.5930000000003,3000.0,3,0.05086750675324676,0.4
11180600,1660.011,3125.0,3,0.05086750675324676,0.5
11180610,1809.400562369734,2500.0,0,0.0,0.0
11190540,2081.817705882353,2912.6213592233007,3,1.72949522961039,0.3300970873786408
