scenario_day,dong_id,H_is,departures_is,avg_distance_km_i,arrivals_is
2025-10-01,11210830,1.0,1.0,1.5555999999999999,3.0
2025-10-01,11220510,3.0,3.0,1.4077266666666663,4.0
2025-10-01,11220520,15.0,15.0,1.2442766666666667,8.0
2025-10-01,11220530,3.0,3.0,1.43172,3.0
2025-10-01,11220540,2.0,2.0,1.1659549999999999,9.0
2025-10-01,11220550,6.0,6.0,1.3040533333333333,6.0
2025-10-01,11220570,5.0,5.0,1.365554,9.0
2025-10-01,11220580,4.0,4.0,1.7417799999999999,5.0
2025-10-01,11220590,6.0,6.0,1.0911516666666665,5.0
2025-10-01,11220600,14.0,14.0,1.1673071428571427,8.0
2025-10-01,11220610,12.0,12.0,0.9715600000000001,11.0
2025-10-01,11220620,0.0,0.0,1.2999068057022174,1.0
2025-10-01,11220630,3.0,3.0,1.06312,8.0
2025-10-01,11220640,9.0,9.0,1.3812888888888888,1.0
2025-10-01,11220650,12.0,12.0,0.9478033333333333,17.0
2025-10-01,11220660,20.0,20.0,1.2899905,19.0
2025-10-01,11220670,29.0,29.0,1.253318275862069,22.0
2025-10-01,11220680,3.0,3.0,1.99784,9.0
2025-10-01,11230510,3.0,3.0,1.08842,3.0
2025-10-01,11230511,4.0,4.0,1.1470799999999999,8.0
2025-10-01,11230520,1.0,1.0,0.9701799999999999,4.0
2025-10-01,11230530,4.0,4.0,1.22538,3.0
2025-10-01,11230580,5.0,5.0,1.22348,10.0
2025-10-01,11230590,7.0,7.0,0.8015071428571429,3.0
2025-10-01,11230600,6.0,6.0,0.9383733333333333,5.0
2025-10-01,11230630,2.0,2.0,1.40211,2.0
2025-10-01,11230640,17.0,17.0,1.4885888235294118,25.0
2025-10-01,11230650,5.0,5.0,0.796844,7.0
2025-10-01,11230660,11.0,11.0,0.86397,6.0
2025-10-01,11230670,16.0,16.0,1.1493625,18.0
2025-10-01,11230680,9.0,9.0,0.9418066666666667,5.0
2025-10-01,11230710,18.0,18.0,1.2119633333333333,13.0
2025-10-01,11230720,3.0,3.0,1.22259,2.0
2025-10-01,11230730,10.0,10.0,1.089024,4.0
2025-10-01,11230750,24.0,24.0,1.6448483333333332,29.0
2025-10-01,11230760,24.0,24.0,1.4859554166666669,30.0
2025-10-01,11230770,5.0,5.0,1.1523759999999998,9.0
2025-10-01,11230780,8.0,8.0,1.89518625,3.0
2025-10-01,11230790,15.0,15.0,1.2676253333333334,12.0
2025-10-01,11230800,9.0,9.0,0.9618144444444445,16.0
2025-10-01,11240510,19.0,19.0,1.2206705263157895,11.0
2025-10-01,11240520,20.0,20.0,1.4801735,30.0
2025-10-01,11240530,6.0,6.0,1.4193066666666667,9.0
2025-10-01,11240540,1.0,1.0,2.56203,6.0
2025-10-01,11240560,4.0,4.0,1.1786325,0.0
2025-10-01,11240570,32.0,32.0,1.6234246875,22.0
2025-10-01,11240580,24.0,24.0,1.2733283333333334,39.0
2025-10-01,11240590,61.0,61.0,1.5377926229508196,49.0
2025-10-01,11240600,21.0,21.0,1.431509523809524,22.0
2025-10-01,11240610,23.0,23.0,1.2461321739130435,20.0
2025-10-01,11240620,14.0,14.0,1.338617857142857,15.0
2025-10-01,11240630,18.0,18.0,1.1208811111111112,33.0
2025-10-01,11240640,15.0,15.0,1.5288013333333335,18.0
2025-10-01,11240650,22.0,22.0,1.3586772727272727,17.0
2025-10-01,11240660,28.0,28.0,1.4242007142857143,22.0
2025-10-01,11240670,10.0,10.0,1.389838,8.0
2025-10-01,11240680,22.0,22.0,1.2420827272727273,26.0
2025-10-01,11240690,41.0,41.0,1.3786839024390245,47.0
2025-10-01,11240710,19.0,19.0,1.4876315789473684,20.0
2025-10-01,11240750,7.0,7.0,1.0894557142857144,11.0
2025-10-01,11240770,69.0,69.0,1.4028594202898552,79.0
2025-10-01,11240780,3.0,3.0,1.7559033333333334,7.0
2025-10-01,11240790,11.0,11.0,1.1509181818181817,5.0
2025-10-01,11240800,51.0,51.0,1.2797780392156863,30.0
2025-10-01,11240810,30.0,30.0,1.1594283333333335,13.0
2025-10-01,11240820,15.0,15.0,1.1870353333333334,17.0
2025-10-01,11250530,6.0,6.0,1.2468516666666667,3.0
