ride_segment_id,timestamp,prev_timestamp,operator_name,device_id,prev_zone_id,zone_id,prev_latitude,prev_longitude,latitude,longitude,interval_minutes,distance_m,speed_kmph,prev_battery_level,battery_level,battery_delta,moved_50m,moved_200m,same_zone,operator_move_speed_rule,operator_move_repeat_rule,operator_move_cluster_rule,operator_move_battery_rule,operator_move_flag,excluded_from_demand,operator_move_reason
12519,2026-06-15T18:30:07+0900,2026-06-15T18:25:05+0900,GBIKE,130096,grid_8127_22779,grid_8122_22776,36.504077,127.271069,36.483473,127.252858,5.033333333333333,2810.528876264577,33.50299322699496,76.0,63.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12578,2026-06-15T18:40:08+0900,2026-06-15T18:35:05+0900,GBIKE,131746,grid_8125_22777,grid_8120_22780,36.496752,127.263007,36.473708,127.276108,5.05,2817.375603161026,33.47376954250724,84.0,76.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12584,2026-06-15T18:40:08+0900,2026-06-15T18:35:05+0900,GBIKE,501312,grid_8127_22778,grid_8123_22775,36.505835,127.265616,36.488716,127.247254,5.05,2513.461585846293,29.862909930847053,80.0,75.0,-5.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12646,2026-06-15T18:55:08+0900,2026-06-15T18:50:09+0900,GBIKE,130852,grid_8132_22778,grid_8128_22775,36.529388,127.26439,36.511686,127.250443,4.983333333333333,2329.7643710358298,28.050674701434733,94.0,85.0,-9.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12652,2026-06-15T18:55:08+0900,2026-06-15T18:50:09+0900,GBIKE,131175,grid_8125_22789,grid_8128_22777,36.497726,127.330485,36.510815,127.262826,4.983333333333333,6220.028395737359,74.88997399549996,71.0,48.0,-23.0,True,True,False,True,False,False,True,True,True,speed_gt_28kmh|fast_battery_delta_abs_ge_20pp
12659,2026-06-15T18:55:08+0900,2026-06-15T18:50:09+0900,GBIKE,131718,grid_8124_22777,grid_8129_22776,36.490491,127.259106,36.514825,127.257667,4.983333333333333,2708.8725865162146,32.6151883326367,88.0,78.0,-10.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12678,2026-06-15T19:00:18+0900,2026-06-15T18:55:08+0900,GBIKE,130815,grid_8123_22775,grid_8119_22780,36.488739,127.250592,36.470935,127.279701,5.166666666666667,3269.9678982204155,37.973820753527406,95.0,87.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12697,2026-06-15T19:05:12+0900,2026-06-15T19:00:18+0900,GBIKE,130348,grid_8128_22774,grid_8124_22776,36.511507,127.243052,36.493365,127.257844,4.9,2411.9582632723263,29.534182815579506,65.0,57.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12721,2026-06-15T19:05:12+0900,2026-06-15T19:00:18+0900,GBIKE,501561,grid_8121_22784,grid_8125_22787,36.478438,127.300566,36.497752,127.317811,4.9,2643.67874547126,32.37157647515828,94.0,83.0,-11.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12742,2026-06-15T19:10:05+0900,2026-06-15T19:05:12+0900,GBIKE,131897,grid_8126_22774,grid_8122_22776,36.502063,127.242623,36.481257,127.252802,4.883333333333334,2486.0377995895124,30.545174329427454,91.0,83.0,-8.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12781,2026-06-15T19:20:12+0900,2026-06-15T19:15:04+0900,GBIKE,131314,grid_8124_22776,grid_8128_22772,36.491273,127.257569,36.510747,127.231612,5.133333333333334,3173.642807929933,37.09452632645377,71.0,45.0,-26.0,True,True,False,True,False,False,True,True,True,speed_gt_28kmh|fast_battery_delta_abs_ge_20pp
12795,2026-06-15T19:25:06+0900,2026-06-15T19:20:12+0900,GBIKE,130558,grid_8123_22776,grid_8127_22773,36.486994,127.257879,36.506967,127.239389,4.9,2768.409876349937,33.89889644510126,78.0,66.0,-12.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12823,2026-06-15T19:30:04+0900,2026-06-15T19:25:06+0900,GBIKE,501378,grid_8128_22777,grid_8123_22776,36.508732,127.26117,36.487013,127.257492,4.966666666666667,2437.3178131841405,29.444107810278208,91.0,89.0,-2.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12850,2026-06-15T19:40:05+0900,2026-06-15T19:35:05+0900,GBIKE,130450,grid_8134_22777,grid_8129_22774,36.534625,127.263337,36.511882,127.243369,5.0,3095.0107710587868,37.14012925270544,66.0,50.0,-16.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12857,2026-06-15T19:45:10+0900,2026-06-15T19:40:05+0900,GBIKE,130097,grid_8122_22776,grid_8129_22777,36.481065,127.253407,36.515202,127.25871,5.083333333333333,3825.343954404517,45.151600773299215,30.0,96.0,66.0,True,True,False,True,False,False,True,True,True,speed_gt_28kmh|fast_battery_delta_abs_ge_20pp
12867,2026-06-15T19:45:10+0900,2026-06-15T19:40:05+0900,GBIKE,131549,grid_8122_22777,grid_8129_22777,36.482664,127.259954,36.515179,127.258749,5.083333333333333,3617.107092044022,42.693723053634365,32.0,100.0,68.0,True,True,False,True,False,False,True,True,True,speed_gt_28kmh|fast_battery_delta_abs_ge_20pp
12879,2026-06-15T19:50:09+0900,2026-06-15T19:45:10+0900,GBIKE,130546,grid_8128_22777,grid_8121_22775,36.509879,127.260422,36.477217,127.250209,4.983333333333333,3744.839975989783,45.08837429285357,96.0,83.0,-13.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
12911,2026-06-15T19:55:05+0900,2026-06-15T19:50:09+0900,GBIKE,501422,grid_8128_22774,grid_8124_22777,36.511784,127.241684,36.491513,127.259575,4.933333333333334,2763.682487772414,33.61235458101584,74.0,70.0,-4.0,True,True,False,True,False,False,False,True,True,speed_gt_28kmh
