prev_zone_id,zone_id,trip_count,device_count,operator_count,avg_distance_m,median_distance_m,avg_speed_kmph,first_timestamp,last_timestamp,origin_latitude,origin_longitude,dest_latitude,dest_longitude
grid_8124_22774,grid_8129_22773,1,1,1,2615.93326060198,2615.93326060198,30.9781570334445,2026-06-13T17:40:10+0900,2026-06-13T17:40:10+0900,36.492944,127.243867,36.51616,127.239134
grid_8142_22775,grid_8137_22775,1,1,1,2615.0658534863064,2615.0658534863064,31.172970438909616,2026-06-13T12:10:07+0900,2026-06-13T12:10:07+0900,36.574208,127.25051,36.550693,127.250966
grid_8129_22777,grid_8134_22778,1,1,1,2614.3238595976304,2614.3238595976304,29.97313979156519,2026-06-13T13:30:17+0900,2026-06-13T13:30:17+0900,36.511877,127.259564,36.535185,127.263402
grid_8124_22779,grid_8127_22774,1,1,1,2610.140307486129,2610.140307486129,31.5318963320472,2026-06-13T22:10:06+0900,2026-06-13T22:10:06+0900,36.491385,127.269641,36.503928,127.244959
grid_8121_22770,grid_8124_22774,1,1,1,2599.9004991238708,2599.9004991238708,32.27462688567564,2026-06-13T20:35:04+0900,2026-06-13T20:35:04+0900,36.47625,127.223344,36.493139,127.243455
grid_8131_22774,grid_8128_22778,1,1,1,2594.580610134032,2594.580610134032,27.79907796572178,2026-06-13T12:00:40+0900,2026-06-13T12:00:40+0900,36.524346,127.245789,36.508043,127.26656
grid_8124_22774,grid_8121_22770,1,1,1,2593.406096195345,2593.406096195345,31.541425494267717,2026-06-13T19:40:03+0900,2026-06-13T19:40:03+0900,36.493065,127.243446,36.47625,127.223344
grid_8128_22772,grid_8129_22777,1,1,1,2591.8735839967667,2591.8735839967667,29.62141238853448,2026-06-13T17:00:21+0900,2026-06-13T17:00:21+0900,36.510698,127.229919,36.516026,127.258153
grid_8119_22779,grid_8123_22776,1,1,1,2590.387829712751,2590.387829712751,32.1565385757445,2026-06-12T16:50:05+0900,2026-06-12T16:50:05+0900,36.469014,127.274174,36.488018,127.257417
grid_8120_22776,grid_8125_22773,1,1,1,2587.0477637989725,2587.0477637989725,31.464094424582097,2026-06-12T22:35:03+0900,2026-06-12T22:35:03+0900,36.474856,127.255771,36.494672,127.240608
